branch_index,max_path_23_max_edge_3,max_path_23_max_edge_5,max_path_23_max_edge_7
1,3,23,23
2,3,23,23
3,3,23,23
4,5,23,23
5,4,4,4
6,23,23,23
7,23,23,23
8,23,23,23
9,23,23,23
10,23,23,23
11,23,23,23
12,2,2,2
13,23,23,23
14,23,23,23
15,2,2,2
16,23,23,23
17,23,23,23
18,21,21,21
19,23,23,23
20,1,1,1
21,2,2,2
22,1,1,1
23,23,23,23
24,23,23,23
25,23,23,23
26,1,1,1
27,23,23,23
28,23,23,23
29,23,23,23
30,1,1,1
31,23,23,23
32,23,23,23
33,23,23,23
34,23,23,23
35,23,23,23
36,23,23,23
37,13,13,13
38,23,23,23
39,17,17,23
40,17,17,23
41,23,23,23
42,23,23,23
43,23,23,23
44,23,23,23
45,23,23,23
46,23,23,23
47,23,23,23
48,1,1,1
49,23,23,23
50,23,23,23
51,23,23,23
52,23,23,23
53,23,23,23
54,23,23,23
55,23,23,23
56,23,23,23
57,23,23,23
58,23,23,23
59,23,23,23
60,6,23,23
61,6,23,23
62,23,23,23
63,23,23,23
64,6,23,23
65,23,23,23
66,23,23,23
67,23,23,23
68,23,23,23
69,23,23,23
70,23,23,23
71,23,23,23
72,23,23,23
73,23,23,23
74,23,23,23
75,23,23,23
76,23,23,23
77,23,23,23
78,23,23,23
79,23,23,23
80,23,23,23
81,23,23,23
82,23,23,23
83,23,23,23
84,23,23,23
85,23,23,23
86,23,23,23
87,23,23,23
88,23,23,23
89,23,23,23
90,23,23,23
91,23,23,23
92,23,23,23
93,13,13,13
94,11,11,11
95,23,23,23
96,23,23,23
97,23,23,23
98,23,23,23
99,23,23,23
100,23,23,23
101,5,5,5
102,5,5,5
103,23,23,23
104,23,23,23
105,23,23,23
106,23,23,23
107,23,23,23
108,23,23,23
109,23,23,23
110,23,23,23
111,23,23,23
112,1,1,1
113,23,23,23
114,5,5,5
115,6,6,6
116,23,23,23
117,23,23,23
118,23,23,23
119,23,23,23
120,1,1,1
121,23,23,23
122,7,8,8
123,23,23,23
124,6,7,8
125,23,23,23
126,23,23,23
127,4,4,4
128,2,23,23
129,4,5,5
130,4,4,4
131,2,2,2
132,2,2,2
133,4,4,4
134,23,23,23
135,23,23,23
136,1,1,1
137,5,23,23
138,2,2,2
139,2,2,2
140,2,2,2
141,2,2,2
142,2,2,2
143,2,2,2
144,1,1,1
145,2,2,2
146,1,1,1
147,2,2,2
148,1,1,1
149,2,2,2
150,2,2,2
151,6,6,23
152,6,23,23
153,23,23,23
154,23,23,23
155,3,6,23
156,7,16,17
157,9,16,17
158,5,5,5
159,7,9,17
160,2,2,2
161,23,23,23
162,23,23,23
163,5,5,7
164,10,10,10
165,9,9,9
166,7,7,7
167,5,5,7
168,7,7,7
169,5,5,5
170,7,7,7
171,6,6,6
172,5,7,7
173,5,7,7
174,9,9,9
175,7,7,7
176,9,9,9
177,9,9,9
178,2,2,2
179,1,1,1
180,23,23,23
