index,demand
1,94.47816042879049
2,53.50755168329255
3,19.601791456673983
4,0.0
5,366.89182631291726
6,123.01020430996745
7,0.0
8,65.81556801461085
9,100.69291756399352
10,156.9894842118518
11,82.44423232290909
12,0.0
13,57.095257812955296
14,159.62266769132736
15,123.57683150594984
16,0.0
17,559.1994403410382
19,0.0
20,619.2818442885084
21,74.41596763839875
22,84.87397400877711
23,20.884660795743738
24,0.0
25,46.306176854126754
26,29.332807635898515
27,67.12845140855954
33,56.5086645759699
34,0.0
35,0.0
36,0.0
37,87.07835976291469
38,156.4701468306803
39,0.0
40,43.79769918843654
41,83.62269416337483
42,0.0
43,39.145948854661334
44,202.78587711618488
45,0.0
46,0.0
47,59.75631210932187
48,39.29188031641301
49,92.86159966651977
51,-4.904499138100945
52,58.64128291177461
53,70.84628921699188
54,9.52287029354295
55,22.65122720044418
57,96.651607370484
58,14.594442863026622
59,211.47571147485834
60,0.0
61,234.43944170859874
62,0.0
63,70.82492347834447
64,0.0
69,0.0
70,54.458942723861696
71,110.77507624193278
72,58.29495529003046
73,222.28308740125516
74,0.0
76,212.54731694037335
77,77.6256917849943
78,0.0
79,48.04598903215697
80,28.878549224542887
81,0.0
84,35.54693139180349
85,0.0
86,0.0
87,0.0
88,0.0
89,45.28628492159664
90,65.71234439730529
91,17.848640487001425
92,16.286780254647823
94,57.957079358867354
97,40.7565657958685
98,67.89374622046034
99,84.3280992061095
100,0.0
102,74.97171929688204
103,33.31145909432902
104,8.415336056063802
105,51.05976946637078
107,4.5197042837002375
108,112.50519726901693
109,29.250661526669
110,65.318945078713
112,18.636742776442997
113,25.499504662902687
114,17.841419925412648
115,0.0
116,0.0
117,0.0
118,13.528597989344743
119,0.0
120,748.2127773795062
121,528.4587802784848
122,219.10892046300845
123,80.04951095225793
124,275.99207196144397
125,499.6651022034863
126,56.981031017848004
127,396.4665713185274
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,175.28550453301318
136,54.201305652400045
137,262.20613903651025
138,1027.2373665212674
139,573.2184590401705
140,398.49693758293074
141,146.88871461389
142,55.581392109250295
143,93.93927883668064
144,0.0
145,23.01086382548321
146,0.0
147,0.0
148,61.811866329025285
149,0.0
150,0.0
151,0.0
152,16.560838846197562
153,0.0
154,70.70719521386373
155,209.3240594045318
156,75.95549290664036
157,120.52891150168263
158,0.0
159,33.52330846760248
160,0.0
161,36.045398786023014
162,83.51581890135459
163,0.0
164,0.0
165,0.0
166,0.0
167,301.76118086458024
168,0.0
169,0.0
170,479.9209505681682
171,769.7879425414864
172,26.497625032491765
173,155.55445457689385
174,0.0
175,169.88333191077817
176,5.055056652669188
177,27.563758909488918
178,422.06270835036565
179,75.19685683917189
180,66.09200719298296
181,71.18815298816445
182,246.74755936917725
183,39.7039860418995
184,141.5468784874304
185,0.0
186,59.06458497192278
187,58.141368272049036
188,182.09524086909687
189,6.759643053256822
190,0.0
191,469.42235866476875
192,766.5302740688035
193,0.0
194,0.0
195,0.0
196,10.442356730236016
197,42.783934496145775
198,66.23328863418824
199,35.30258677253323
200,28.077899771913938
201,41.77710768712282
202,36.70673782703583
203,40.87663080976918
204,72.54525927276165
205,0.0
206,12.327964094684438
207,-21.141658597251023
208,6.86482309378051
209,36.1465076636699
210,0.0
211,91.3780140329772
212,0.0
213,0.0
214,22.24082887755239
215,48.39595217109505
216,175.27914540021052
217,97.47259662715419
218,134.43441129936863
219,0.0
220,290.66946895530504
221,167.22694902079888
222,317.21553412349584
223,422.46135126699073
224,170.84036055060992
225,415.3021420017679
226,0.0
227,557.6383714861838
228,233.54363506345325
229,99.14474800002986
230,0.0
231,160.34826421067459
232,433.01990634597774
233,396.22494594767636
234,564.0103240866598
235,274.2362391643113
236,0.0
237,0.0
238,254.70155022542767
239,0.0
240,0.0
241,0.0
242,0.0
243,7.617564149412279
244,0.0
245,58.8671256836593
246,77.96236170885855
247,62.73422111383407
248,29.924365812351034
249,29.49620714574573
250,-23.272675565806676
281,-34.592266922329024
319,114.7309673783855
320,2.491537458904378
322,2.3908782890614653
323,-15.238175811176964
324,25.915496124990945
526,150.79556400665112
528,26.69687632118189
531,13.460558835120322
552,-11.313384671281325
562,51.26822243781489
609,30.454226435538736
664,-117.64281706019219
1190,95.40710128828373
1200,-101.36765080361991
1201,0.0
2040,0.0
7001,0.0
7002,0.0
7003,0.0
7011,0.0
7012,0.0
7017,0.0
7023,0.0
7024,0.0
7039,0.0
7044,0.0
7049,0.0
7055,0.0
7057,0.0
7061,0.0
7062,0.0
7071,0.0
7130,0.0
7139,0.0
7166,0.0
9001,0.0
9002,4.098791827845214
9003,2.6199655608801944
9004,0.8355310036918842
9005,0.0
9006,0.0
9007,0.0
9012,0.0
9021,4.7129979275240785
9022,1.480603007397798
9023,0.0
9024,1.3550087248080314
9025,0.4657059747133985
9026,0.4682479292573587
9031,1.8889800817841214
9032,1.4184777287732382
9033,1.9732935495854942
9034,1.582596761502348
9035,1.5889179998776448
9036,3.0409920895249223
9037,1.84599768657102
9038,2.645515968117495
9041,1.0531329374347378
9042,0.8367267341006075
9043,1.5449329759110393
9044,0.0
9051,34.261652031526204
9052,29.87211216591413
9053,27.576817008515157
9054,0.0
9055,0.0
9071,1.0392898714266543
9072,1.0108816493956105
9121,3.7344484443919437
9533,1.2142107705528578
